Bluesky Handle,Post,Timestamp
lockheedmartin.bsky.social,"They’re not. They’re on Team Trump. They also are the bad guys. I’m not sure what else they could do to show this other than just coming out and admitting it.

They let Trump get away with both J6 and stealing classified information by the truckload. For four years.

They’re complicit.",2025-03-03T01:00:16.285Z
lockheedmartin.bsky.social,I have to discard so many of my replies to the stuff you repost because of how vile some of what I say is. I will still say that I wish her many a sleepless night and a very lonely suicide.,2025-03-03T06:19:51.580Z
dow.bsky.social,"Trump is unambiguously embracing Putin under the guise of peace. Because everyone is for peace.

DOGE is a power grab under the guise of eliminating government waste. Because everyone is against government waste.

Don't fall for this basic con.",2025-03-03T01:57:43.216Z
dow.bsky.social,Would've gone a lot better had Zelensky just worn these today,2025-02-28T17:28:42.213Z
dow.bsky.social,,2025-02-28T13:10:19.009Z
dow.bsky.social,Can we criticize the Fed yet for its reckless and obviously politically-motivated pause?,2025-02-27T20:52:52.752Z
dow.bsky.social,"And just like that, “cutting by 50 basis points was a huge policy error“ has disappeared from the discourse.",2025-01-24T23:57:12.660Z
generalelectric.bsky.social,Love to pay for this,2025-02-24T01:41:00.976Z
generalelectric.bsky.social,On the plus side I got to not watch two minutes of this team,2025-02-24T00:46:08.271Z
generalelectric.bsky.social,"Ahh yes, an #isles game. Time to fight with the Gotham Sports app for the first two minutes of the first period",2025-02-24T00:43:27.922Z
generalelectric.bsky.social,Doing foreskin extension exercises for the purpose of getting a second circumcision. (They're fun),2025-01-18T23:13:48.066Z
generalelectric.bsky.social,"Yeah, gotta think the Judgment Night soundtrack was somehow the peak. Their stuff aged like milk",2025-01-11T13:23:32.920Z
progressive.bsky.social,"Sunsets are nature's way of saying, 'let go of the worries and embrace the beauty all around.' The vibrant hues blending seamlessly across the horizon, painting a breathtaking masterpiece that reminds us of life's simplest pleasures. ",2023-08-28T13:14:57.144Z
bestbuy.bsky.social,love this 😻,2024-12-03T20:16:40.195Z
bestbuy.bsky.social,,2024-11-30T11:46:00.575Z
bestbuy.bsky.social,"""how absurd it is that the Ontario government is sending cheques to us when it can’t adequately provide basics such as primary care, emergency services in hospitals, or narcotics addiction treatment"" #roadsafety",2024-11-30T14:22:50.074Z
bestbuy.bsky.social,"Hopefully better than we treat the beings we KNOW are sentient 

arstechnica.com/science/2024...",2024-11-30T14:19:43.194Z
bestbuy.bsky.social,"You don’t have to be a “cyclist” to support safe bike infrastructure in your city. You don’t have to ride bikes at all. You just have to understand the FACT that bike infrastructure makes getting around easier & safer for EVERYONE, saves us all public money, & makes cities generally more successful.",2024-11-29T20:07:38.830Z
generaldynamics.bsky.social,LISTEN LIVE: General Dynamics CEO Phebe Novakovic to host 4th-quarter financial results conference call. Register to listen: gd.com,2025-01-29T13:27:59.598Z
generaldynamics.bsky.social,"General Dynamics today reported quarterly net earnings of $1.1 billion on $13.3 billion in revenue. Full-year earnings from continuing operations were $3.8 billion on revenue of $47.7 billion. Read more:
www.gd.com/Articles/202...",2025-01-29T12:08:00.879Z
generaldynamics.bsky.social,"Today we honor the life, work, and legacy of Dr. Martin Luther King, Jr. by embracing his call to serve those in need, support our communities, and build bridges rather than barriers.
GDIT employees are volunteering and hosting food drives in Falls Church, VA and Bossier, LA for the #MLKDayofService",2025-01-21T13:52:16.727Z
generaldynamics.bsky.social,"NASSCO shipbuilders helped raise over $3,700 and collected dozens of toys for the Toy Drive benefiting children at eight schools. Special thanks to the Port of San Diego Ship Repair Association for delivering the toys, and a shout out to Illustra Pro for partnering up with us on this wonderful day!🙌",2024-12-18T21:35:52.652Z
generaldynamics.bsky.social,"Gulfstream, a business unit of General Dynamics, was awarded a $991 million contract to provide support services for C-20 and C-37 jets operated by the U.S. Air Force, U.S. Navy, U.S. Marine Corps, U.S. Army and U.S. Coast Guard. 

gd.com/Articles/202...",2024-11-22T17:21:13.452Z
danaher.bsky.social,💯,2024-11-14T11:57:52.579Z
danaher.bsky.social,I intend to learn how to solve a Rubik's cube in under 30 seconds.,2024-11-13T17:46:58.775Z
danaher.bsky.social,"This has to be better than twitter, the place has descended into chaos. 

Sky's do indeed seem to blue here ;)",2024-09-20T06:00:10.576Z
paramountglobal.bsky.social,"Paramount's core values, R.I.C.E., stand for Respect, Integrity, Communication & Excellence. At the end of every year, we award employees who exemplify each of these values. Let's recognize our 2024 R.I.C.E. Day Winner for RESPECT, Anuya! 
#EmployeeAppreciation #ParamountCulture",2025-02-26T17:04:48.316Z
paramountglobal.bsky.social,"Join us tonight Cascadia IFT in Seattle! We're exhibiting at table 148, stop by and see us for all your packaging needs. 
#CascadiaIFT",2025-02-25T23:50:55.887Z
paramountglobal.bsky.social,"Ready to make the switch to more sustainable packaging? Check out our step-by-step guide on transitioning from virgin to recycled plastic! Transform your business and embrace a greener future! ♻️ https://buff.ly/3D7mlIu 
#RecycledPlastic #Packaging",2025-02-25T18:00:27.265Z
paramountglobal.bsky.social,"Paramount's core values, summarized as R.I.C.E. stand for Respect, Integrity, Communication & Excellence. At the end of every year, we award employees who exemplify these values. Let's kick things off by recognizing our 2024 Overall RICE Day Winner, Linda! 
#EmployeeAppreciation",2025-02-25T17:00:33.448Z
paramountglobal.bsky.social,Visit us tonight at the Oregon Section IFT Supplier's Night! #OSIFT #SuppliersNight,2025-02-25T00:01:51.099Z
deltaairlines.bsky.social,"we are very concerned, and will be grounding all flights until Musk has been removed from the country",2025-02-20T15:06:40.730Z
deltaairlines.bsky.social,"we are very concerned, and will be grounding all flights until Musk has been removed from the country",2025-02-20T15:06:40.730Z
deltaairlines.bsky.social,"please don't laugh, our planes only do this when they are sick or severely distressed",2025-02-17T22:11:03.149Z
deltaairlines.bsky.social,we're here to serve!,2025-02-17T21:45:22.217Z
deltaairlines.bsky.social,"you don't know me, mods. that's Mr Air-linés to you.",2024-02-28T04:10:58.136Z
halliburton.bsky.social,"We at Halliburton are heartbroken to hear of the passing of Henry Kissinger. 

He died consuming our CorrosaCem™ cement, an innovative corrosion-resistant cementing solution. He thought it looked ""yummy.""

We do not recommend the consumption of CorrosaCem™ cement. www.halliburton.com/en/well-cons...",2023-11-30T04:14:50.156Z
halliburton.bsky.social,"This shit ain't nothin' to me, man. I'm a dog. I'm bitin' da fart bubbles in the bath.",2023-11-27T01:29:56.163Z
halliburton.bsky.social,"No matter how you cook your turkey — hot oven, cold oven, or The Right Way (frying) — we hope you have a happy and meaningful Thanksgiving. 

If the dinner conversation gets testy, remember: you can always diffuse tension by bringing up the benefits of investing in Halliburton! ir.halliburton.com",2023-11-23T16:48:42.657Z
halliburton.bsky.social,"In an era of mis- and disinformation, it's important that we are transparent with those we serve. 

If you'd like to learn about our rich legacy, visit our website as opposed to sites like Wikipedia or irreputable newspapers like the New York Times. Check it out: www.halliburton.com/en/about-us/...",2023-11-21T17:21:51.161Z
halliburton.bsky.social,"Interested in joining our talented team?

We offer competitive salaries & top-notch career development opportunities across the U.S. Whether you're a recent grad or looking for a career change, make Halliburton your next step! jobs.halliburton.com",2023-11-21T14:20:57.020Z
northropgrumman.bsky.social,"Rapid response is crucial in defense, and the instant thrust provided by SRMs provide a tactical advantage. To meet the growing demand for advanced propulsion, @northropgrumman.bsky.social has significantly expanded its manufacturing capabilities. Learn more ⬇️ 

#MultiDomainOps #NASA #SRM #sponsored",2025-02-06T14:08:12.783Z
